Accession	Sample	Species	Cell_type	Replicate	Study
SRR6123784	DNA_6mA	Human	PBMC	rep1	30017583
SRR6123785	DNA_6mA	Human	PBMC	rep2	30017583
SRR494613	RNA_Input	Human	HEK293T	rep1	22608085
SRR494614	RNA_6mA	Human	HEK293T	rep1	22608085
SRR494615	RNA_Input	Human	HEK293T	rep2	22608085
SRR494616	RNA_6mA	Human	HEK293T	rep2	22608085
SRR494617	RNA_Input	Human	HEK293T	rep3	22608085
SRR494618	RNA_6mA	Human	HEK293T	rep3	22608085
SRR6447605	DNA_Input	Human	GM12878	rep1	29764913
SRR6447606	DNA_6mA_WGA	Human	GM12878	rep1	29764913
SRR6447607	DNA_6mA	Human	GM12878	rep1	29764913
SRR6447608	DNA_Input	Human	HG004	rep3	29764913
SRR6447609	DNA_6mA	Human	HG004	rep3	29764913
SRR6447610	DNA_Input	Human	HG003	rep2	29764913
SRR6447611	DNA_6mA	Human	HG003	rep2	29764913
SRR6447612	DNA_Input	Human	HG002	rep1	29764913
SRR6447613	DNA_6mA	Human	HG002	rep1	29764913
SRX861043	DNA_5hmC	Human	TK6	(SRR1781971+SRR1781972)	26820575
SRX861045	DNA_5mC	Human	TK6	(SRR1781975+SRR1781976)	26820575
SRR1237957	DNA_5mC	Human	K562	rep1	ENCODE
SRR1237958	DNA_5mC	Human	GM12878	rep1	ENCODE
SRX4615359	DNA_Input	Human	CW2386	rep1	30392959
SRX4615360	DNA_6mA	Human	CW2386	rep1	30392959
SRX4615361	DNA_Input	Human	GSC23	rep1	30392959
SRX4615362	DNA_6mA	Human	GSC23	rep1	30392959
SRX4615363	DNA_Input	Human	T387	rep1	30392959
SRX4615364	DNA_6mA	Human	T387	rep1	30392959
SRX4615365	DNA_6mA	Human	T387_shCONT	rep1	30392959
SRX4615366	DNA_6mA	Human	T387_shALKBH1.1008	rep1	30392959
SRX4615367	DNA_6mA	Human	T387_shALKBH1.1551	rep1	30392959
SRR8257208	DNA_6mA	Human	CHM1	rep1	30914725
SRR8257209	DNA_Input	Human	CHM1	rep1	30914725
SRR8257210	DNA_6mA	Human	CHM1	rep2	30914725
SRR8257211	DNA_Input	Human	CHM1	rep2	30914725
SRR8257212	DNA_6mA	Human	CHM1	rep3	30914725
SRR8257213	DNA_Input	Human	CHM1	rep3	30914725
